GATA_disc5; CpG Island 1
NR3C1_disc6; CpG Island 1
SMAD_2; CpG Island 2
SMAD3_1; CpG Island 2
HIC1_4; CpG Island 2
MYC_disc10; CpG Island 2
PBX3_disc3; CpG Island 2
PAX1_1; CpG Island 2
ZNF143_disc4; CpG Island 2
REST_disc9; CpG Island 2
EP300_disc5; CpG Island 2
TFAP2_known13; CpG Island 2
TFAP2B_4; CpG Island 2
TFAP2_known18; CpG Island 2
TFAP2_known18; CpG Island 2
TFAP2_known22; CpG Island 2
HAND1_1; CpG Island 2
TAL1_known4; CpG Island 2
TCF12_disc5; CpG Island 2
EP300_disc9; CpG Island 2
HIC1_2; CpG Island 2
TFAP2_known12; CpG Island 2
IKZF2_3; CpG Island 2
HMGA1_2; CpG Island 2
ELF3_1; CpG Island 2
FEV_1; CpG Island 2
RREB1_2; CpG Island 2
SOX_1; CpG Island 2
NFAT_1; CpG Island 2
IKZF2_3; CpG Island 2
TFAP2_known5; CpG Island 2
HSF_known4; CpG Island 3
HSF_known5; CpG Island 3
HSF2_2; CpG Island 3
HSF4_1; CpG Island 3
ZNF263_disc1; CpG Island 3
POU2F2_disc2; CpG Island 3
REST_disc9; CpG Island 3
CTCF_disc8; CpG Island 3
HIC1_3; CpG Island 3
REST_disc5; CpG Island 3
REST_disc4; CpG Island 3
KLF12_2; CpG Island 3
TFCP2_3; CpG Island 3
KLF4_1; CpG Island 3
CACD_2; CpG Island 3
HDAC2_disc3; CpG Island 3
SP1_known3; CpG Island 3
SMC3_disc4; CpG Island 3
CTCF_disc8; CpG Island 3
MYC_disc10; CpG Island 3
HIC1_1; CpG Island 3
HIC1_2; CpG Island 3
SIN3A_disc7; CpG Island 3
BHLHE40_disc2; CpG Island 3
TFAP2_known2; CpG Island 3
TFAP2_known2; CpG Island 3
TFAP2_known3; CpG Island 3
TFAP2_known8; CpG Island 3
TFAP2_known8; CpG Island 3
BDP1_disc3; CpG Island 3
SMAD_2; CpG Island 3
SMAD3_1; CpG Island 3
ZBTB6_1; CpG Island 4
MYOD1_3; CpG Island 4
TCF3_4; CpG Island 4
TFAP2B_1; CpG Island 4
TFAP2B_2; CpG Island 4
TFAP2_known14; CpG Island 4
TFAP2_known17; CpG Island 4
TFAP2_known20; CpG Island 4
TFAP2_known20; CpG Island 4
ATF3_known5; CpG Island 5
BCL_disc9; CpG Island 5
BDP1_disc1; CpG Island 5
ZIC1_2; CpG Island 5
ZIC2_2; CpG Island 5
ZIC3_2; CpG Island 5
EBF1_known3; CpG Island 5
SMAD4_1; CpG Island 5
SP1_disc3; CpG Island 5
HNF4_disc5; CpG Island 5
PLAGL1_1; CpG Island 5
PLAGL1_1; CpG Island 5
ZBTB7A_known2; CpG Island 5
REST_disc5; CpG Island 5
NR1H_1; CpG Island 5
NR1H_2; CpG Island 5
NR1H_3; CpG Island 5
RARA_6; CpG Island 5
RARG_3; CpG Island 5
RARG_6; CpG Island 5
RARA_8; CpG Island 5
RARG_9; CpG Island 5
RXRA_known9; CpG Island 5
PBX3_disc2; CpG Island 5
ZNF589_1; CpG Island 5
BCL6B_2; CpG Island 5
RXRA_known4; CpG Island 5
HNF4_known1; CpG Island 5
NFKB_disc4; CpG Island 5
STAT_disc7; CpG Island 5
STAT_known1; CpG Island 5
HOXA13_2; CpG Island 5
HOXA13_4; CpG Island 5
HOXB13_2; CpG Island 5
HOXC10_2; CpG Island 5
HOXC13_2; CpG Island 5
HOXD13_2; CpG Island 5
HOXD13_4; CpG Island 5
HOXD9_1; CpG Island 5
FOXJ2_1; CpG Island 5
FOXP1_1; CpG Island 5
FOXC1_3; CpG Island 5
FOXO3_2; CpG Island 5
FOXA_known2; CpG Island 5
FOXA_known3; CpG Island 5
FOXJ3_8; CpG Island 5
FOXI1_1; CpG Island 5
FOXJ1_1; CpG Island 5
FOXI1_2; CpG Island 5
FOXL1_1; CpG Island 5
FOXI1_2; CpG Island 5
FOXG1_1; CpG Island 5
TFAP4_4; CpG Island 5
EGR1_known3; CpG Island 6
RAD21_disc8; CpG Island 6
CTCF_disc5; CpG Island 6
SMC3_disc3; CpG Island 6
BDP1_disc1; CpG Island 6
SP1_disc2; CpG Island 6
GATA_disc3; CpG Island 6
MEIS3_2; CpG Island 6
CTCF_known2; CpG Island 6
ESRRA_disc4; CpG Island 6
ZFX_1; CpG Island 6
EGR1_disc6; CpG Island 6
YY1_disc4; CpG Island 6
BHLHE40_disc2; CpG Island 6
REST_disc9; CpG Island 6
ZNF143_disc4; CpG Island 6
EP300_disc9; CpG Island 6
EP300_disc8; CpG Island 6
THAP1_disc1; CpG Island 6
NFIA_1; CpG Island 6
NFIB_1; CpG Island 6
NR3C1_known2; CpG Island 6
RREB1_1; CpG Island 6
FOXG1_4; CpG Island 6
FOXK1_3; CpG Island 6
NFKB_known6; CpG Island 6
NFKB_known2; CpG Island 6
NFKB_known9; CpG Island 6
NFKB_disc4; CpG Island 6
IRF_known13; CpG Island 6
IRF_known1; CpG Island 6
IRF_known9; CpG Island 6
FOXO1_1; CpG Island 6
SPI1_known4; CpG Island 6
NR3C1_known3; CpG Island 6
TCF7L1_1; CpG Island 6
TCF7_1; CpG Island 6
TCF7_2; CpG Island 6
TCF7L2_disc2; CpG Island 6
CCNT2_disc2; CpG Island 6
NR6A1_1; CpG Island 6
SRF_disc2; CpG Island 7
STAT_disc7; CpG Island 7
HF1H3B_1; CpG Island 7
BDP1_disc1; CpG Island 7
BDP1_disc1; CpG Island 7
TFAP2_known13; CpG Island 7
SP8_1; CpG Island 7
KLF16_1; CpG Island 7
SREBP_known4; CpG Island 7
SREBP_known2; CpG Island 7
SRF_disc2; CpG Island 7
HNF4_known12; CpG Island 7
HNF4_known1; CpG Island 7
HNF4_disc3; CpG Island 7
HNF4_known17; CpG Island 7
HNF4_known18; CpG Island 7
HNF4_known20; CpG Island 7
HNF4_known22; CpG Island 7
HNF4_disc2; CpG Island 7
HNF4_known3; CpG Island 7
HNF4_known8; CpG Island 7
HNF4_known9; CpG Island 7
HDAC2_disc5; CpG Island 7
HNF4_known14; CpG Island 7
HNF4_disc1; CpG Island 7
ZNF143_disc3; CpG Island 7
TCF3_4; CpG Island 7
MYOD1_3; CpG Island 7
PDX1_1; CpG Island 8
MZF1_1; CpG Island 8
FOXG1_4; CpG Island 8
NKX2-1_2; CpG Island 8
IRF_disc5; CpG Island 8
ETV7_1; CpG Island 8
EGR1_disc2; CpG Island 8
TCF12_known1; CpG Island 8
TFAP4_4; CpG Island 8
TCF12_disc5; CpG Island 8
IRF_known10; CpG Island 8
IRF_known4; CpG Island 8
IRF_known7; CpG Island 8
IRF_known3; CpG Island 8
PRDM1_known1; CpG Island 8
IRF_known11; CpG Island 8
IRF_known14; CpG Island 8
IRF_known21; CpG Island 8
STAT_disc3; CpG Island 8
IRF_known8; CpG Island 8
GFI1B_1; CpG Island 8
GFI1_3; CpG Island 8
REST_known1; CpG Island 8
REST_known2; CpG Island 8
REST_known4; CpG Island 8
REST_disc4; CpG Island 8
REST_disc9; CpG Island 8
REST_disc8; CpG Island 8
SIN3A_disc7; CpG Island 8
IKZF1_2; CpG Island 8
HNF4_known26; CpG Island 8
RARA_2; CpG Island 8
RARA_8; CpG Island 8
RARB_2; CpG Island 8
TCF3_2; CpG Island 9
ZBTB7A_known4; CpG Island 10
ZBTB7C_1; CpG Island 10
ZBTB7A_known3; CpG Island 10
PKNOX2_2; CpG Island 10
TGIF1_3; CpG Island 10
TGIF2_2; CpG Island 10
REST_disc3; CpG Island 10
TFAP4_4; CpG Island 10
AIRE_2; CpG Island 10
AIRE_1; CpG Island 10
ZBTB7A_disc2; CpG Island 10
EGR1_known6; CpG Island 10
CTCF_disc1; CpG Island 10
TCF3_7; CpG Island 10
TCF4_1; CpG Island 10
TCF4_2; CpG Island 10
SPDEF_4; CpG Island 10
SPDEF_7; CpG Island 10
HDAC2_disc6; CpG Island 10
ZNF143_disc3; CpG Island 10
NFIA_1; CpG Island 10
NFIB_1; CpG Island 10
BCL_disc9; CpG Island 10
ZEB1_known2; CpG Island 10
FOXO3_3; CpG Island 10
FOXB1_4; CpG Island 10
NR3C1_disc6; CpG Island 11
ZNF263_disc1; CpG Island 11
YY1_disc5; CpG Island 11
SP1_disc3; CpG Island 11
CCNT2_disc2; CpG Island 11
CACBP_1; CpG Island 11
RAD21_disc10; CpG Island 11
RXRA_disc2; CpG Island 11
NFE2_disc4; CpG Island 12
REST_disc8; CpG Island 13
IKZF3_1; CpG Island 13
NR5A1_2; CpG Island 13
MTF1_2; CpG Island 13
MTF1_3; CpG Island 13
NFKB_disc4; CpG Island 13
REST_disc4; CpG Island 13
RAD21_disc1; CpG Island 13
CTCF_known1; CpG Island 13
EGR1_known4; CpG Island 14
RXRA_disc2; CpG Island 14
CTCF_disc7; CpG Island 14
REST_disc3; CpG Island 14
TBX2_1; CpG Island 14
STAT_disc7; CpG Island 14
TBX1_4; CpG Island 14
CACD_2; CpG Island 14
MYF6_1; CpG Island 14
TCF12_disc1; CpG Island 14
TRIM28_disc2; CpG Island 14
GLIS1_1; CpG Island 15
FOXO6_3; CpG Island 15
FOXO1_5; CpG Island 15
FOXO4_5; CpG Island 15
SP4_2; CpG Island 15
IRF_disc4; CpG Island 15
KLF13_1; CpG Island 15
KLF14_1; CpG Island 15
KLF12_2; CpG Island 15
KLF4_1; CpG Island 15
KLF16_1; CpG Island 15
SP1_known8; CpG Island 15
