43541266	43548179	+	 UMODL1
43621786	43717352	+	 ABCG1
43641283	43641396	+	 AP001622.1
43676459	43717352	+	 ABCG1
43720384	43720455	-	 AP001623.1
43726682	43735519	-	 TFF3
43732185	43735519	-	 TFF3
43792000	43816955	-	 TMPRSS3
43792000	43816955	-	 TMPRSS3
43802835	43816955	-	 TMPRSS3
43824011	43830697	+	 UBASH3A
43837606	43837702	-	 AP001624.1
44313391	44329209	+	 NDUFV3
44337150	44339420	+	 AP001629.1
44373890	44376488	+	 AP001630.1
44394643	44452285	+	 PKNOX1
44473303	44495964	-	 CBS
44513067	44527634	-	 U2AF1
44513067	44527688	-	 U2AF1
44579355	44581362	-	 AP001631.10
45079432	45115960	+	 RRP1B
45152259	45156956	+	 PDXK
45168246	45168349	-	 AP001052.1
45209457	45222360	+	 RRP1
45275969	45276133	-	 MYL6P
45285116	45405179	+	 AGPAT3
45339676	45339782	-	 AP001054.1
45416203	45416301	-	 AB001523.1
45666223	45682099	-	 DNMT3L
45710274	45718110	+	 AIRE
45710690	45718102	+	 AIRE
45710690	45718102	+	 AIRE
45725211	45747253	+	 PFKL
45749773	45754194	-	 C21orf2
45751119	45751543	+	 AP001062.7
45876518	45877311	+	 LRRC3
45894981	45895050	-	 AP001065.1
45917777	46131495	-	 C21orf29
45917777	46131495	-	 C21orf29
45917777	46131495	-	 C21orf29
45928752	46131495	-	 C21orf29
45993624	45994841	+	 KRTAP10-4
46117342	46117722	+	 KRTAP10-12
46117354	46117722	+	 KRTAP10-12
46188956	46209190	-	 UBE2G2
46188956	46221738	-	 UBE2G2
46225777	46237966	-	 SUMO3
46269515	46293601	-	 PTTG1IP
46269515	46293644	-	 PTTG1IP
46286280	46288992	-	 AL773603.1
46305871	46340965	-	 ITGB2
46355573	46359828	-	 C21orf67
46494515	46646474	+	 ADARB1
46554641	46564597	+	 ADARB1
46875424	46933633	+	 COL18A1
